,RF_Pr,RF_Rc,RF_F1,RF_F05,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
environment_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHM C01 MS NBD,0.8353075812833014,0.6519999999999999,0.6562430260895742,0.7157133759688342,0.4606800367099935,0.44399999999999995,0.3968264543875468,0.40431263975637133,0.3837878327812538,0.5575,0.3927853886936674,0.3479916001469144,0.5127172420374817,0.383,0.4162416789447219,0.4595915336987625,0.07583499356657612,0.06913753911139789,0.0686787604362183,0.07316052798847042,0.10260184573839118,0.06436039538082451,0.061681326734828755,0.07064856920446928,0.16658953346119085,0.034465356166480283,0.03487066598968877,0.05627309596617676,0.11193396449825248,0.10410205115144815,0.0970614223418029,0.09878696834603336
PHM C01 SS HBD,0.6932041776536829,0.562,0.578937971728485,0.6230676608837384,0.26627222547048,0.282,0.2669347875820807,0.26163393994404205,0.4581576094346992,0.525,0.39961538807498187,0.38367800347380604,0.4557299895147574,0.3685,0.3721623876203864,0.3997555556113357,0.0702583804523095,0.07459041339540039,0.06762250099661692,0.06418087278861385,0.06639685150167185,0.05519343356162215,0.04182623605813552,0.0417286198391328,0.17718339974405684,0.03190054882859242,0.03590570218606473,0.057102413604876626,0.13615805020159186,0.09150211335278227,0.09328443505950554,0.10618924999485738
PHM C01 SS LBD,0.5065789072039072,0.311,0.3317771150689858,0.3828735500120234,0.5027941260790592,0.5974999999999999,0.5352163011809776,0.5132058899483706,0.3934407484407484,0.5015,0.35077055434074955,0.3169650722339675,0.5219421526816264,0.3375,0.3883307761962424,0.4482826632407438,0.07937312110026742,0.04176712649619373,0.04454050053066957,0.051981289874185266,0.0689836326293936,0.10451963501155374,0.07878602295014539,0.07089761735278642,0.22161451298889984,0.03047793485850364,0.03631838676786911,0.06435697269497898,0.12170740201986958,0.08785464238049026,0.09164472201471562,0.1006767519186847
PHM C01 SS NBD,0.47791200828157354,0.3625,0.399734630193037,0.43858644038978917,0.500551565525469,0.5,0.49343031780283786,0.495695424700215,0.47236113867909424,0.807,0.5681208831348138,0.49019736200659814,0.4397701551124083,0.417,0.38674051815188504,0.3946486690217517,0.012185381522356629,0.02569283487507028,0.02185322251175863,0.01725920203462835,0.08375985132780103,0.10266427967196119,0.08311113835845067,0.08043468441223381,0.05585703894995338,0.033524197673205205,0.02412904031815291,0.027588607588537477,0.12477938053866329,0.0699607106106669,0.06855748479636205,0.07916554254349559
PHM C04 MS NBD,0.7392993395493395,0.2545,0.3591968138080842,0.4941171453782715,0.49830691958814005,0.589,0.4904767261579206,0.4703134118656638,0.32334026334026333,0.20949999999999996,0.15988791978652978,0.16820520403369235,0.4988590366848902,0.39349999999999996,0.42144792795541697,0.45699877169969677,0.19998444468050908,0.0807076118344338,0.09968182486465957,0.12197529591016995,0.10187064253098924,0.07549424731800573,0.06701568427051348,0.06936688576160119,0.34608829113564743,0.029301318794140628,0.04605801870848154,0.08980112404665,0.11050858889739026,0.10652979567843757,0.09958227652526926,0.10096395722653292
PHM C04 SS HBD,0.6109602881120553,0.7125,0.6204093724201678,0.5977565273891294,0.5183245565133596,0.6065,0.5522097757091274,0.5300221399524485,0.35795090140371444,0.4505,0.325060211381213,0.294478470274946,0.4284874476767596,0.2625,0.2855257929581739,0.33338761398012073,0.0761112558876499,0.05818787411596751,0.05068194548968178,0.05327804605140239,0.07134968551400903,0.10516384874482416,0.07811926310631535,0.0718732262310853,0.18954519204433623,0.0281512151684254,0.03278801455573794,0.054313104852958816,0.1660110567171437,0.08407839284381671,0.09237752480925031,0.11235767862090222
PHM C04 SS LBD,0.6618571711323153,0.756,0.6720628369739091,0.6567801471576111,0.40914700875039917,0.45499999999999996,0.4278232570975664,0.41566653411115934,0.4106430936430936,0.4995,0.37004147703899476,0.3408920466047247,0.48776500336004613,0.27999999999999997,0.3239362100720342,0.386047152753327,0.060544296988521686,0.05986519420943768,0.055672438314430125,0.05698076524131396,0.05180685127450453,0.07432592864764091,0.053389158201509704,0.049841240171172904,0.18479918516222607,0.03133194904912341,0.03626519045902639,0.059031523222937046,0.14974869914108446,0.08605510618444027,0.09016664789148057,0.10258308639687519
PHM C04 SS NBD,0.7507658585599929,0.8779999999999999,0.7840302453621364,0.7573544675544893,0.4866322943234606,0.4415,0.44850371961374574,0.46327241427281257,0.43899590886432993,0.6835,0.47238089461415245,0.41093902188361203,0.4995003349332775,0.5095,0.4691330774472509,0.4727537957325083,0.046343898214039454,0.044851339089187335,0.04156257714011064,0.04179323658935278,0.10266047812563081,0.0996221859372842,0.08948903045934167,0.09143488164740782,0.1435766192405699,0.037442145267284586,0.03303184102359234,0.04832525841547672,0.09022842598629782,0.09171950835032057,0.07711094135603133,0.07810625594835141
PHM C06 MS NBD,0.8639279089503548,0.35550000000000004,0.46936914322374435,0.6163115377370956,0.501006015848018,0.713,0.5778564056822912,0.5273703990927429,0.4894910050260216,0.705,0.5287126830166808,0.4786089008000979,0.5228060283902314,0.488,0.48459432141198755,0.4978249456066017,0.08042833734189501,0.0868202705186072,0.10111645379591525,0.10790096459532302,0.053848642982347185,0.08641018414245778,0.06139136604462399,0.055375220763851596,0.0995353652127762,0.03331662516102505,0.02529838112586269,0.033262221740639045,0.09778075552608034,0.11165179858058034,0.09081974878513217,0.08696034550374973
PHM C06 SS HBD,0.7091098920421355,0.843,0.7589732803986259,0.7256573719101939,0.3157740765583431,0.32399999999999995,0.3106160081237198,0.3082693913116855,0.44859753533602637,0.518,0.3996192572818639,0.3746192554532679,0.3884588752513944,0.22249999999999998,0.26473771331351476,0.31715564200075314,0.04384086494700032,0.0545649028036385,0.0436994726276681,0.04233389421563334,0.09413578220146948,0.08002348098733643,0.06876531079835585,0.06947068080895033,0.15867190085694638,0.03451402273744824,0.035809647854211715,0.054056467094003746,0.16793494079287336,0.08765874426869044,0.10243224987948263,0.12528854245706014
PHM C06 SS LBD,0.20499371199835595,0.27949999999999997,0.22830921431120038,0.2122270759391755,0.5098096403546156,0.5765,0.53028035542726,0.515822707854831,0.43356587281523346,0.2665,0.2661510301642164,0.2959940856905333,0.41696614161552237,0.1805,0.23164869364704915,0.29424688967582946,0.00769934919567494,0.00598609499868933,0.006390136686063999,0.00670683212599148,0.0713504149394754,0.0852417016250409,0.06927796733773854,0.06811742048530149,0.24837264210149623,0.03444499349486027,0.045435733905626816,0.07661614348671957,0.19267417319563757,0.06722000462993566,0.08140617772522832,0.10358943319609619
PHM C06 SS NBD,0.8298938172389075,0.7255,0.7541553280248606,0.7915415019779155,0.5166255217568541,0.509,0.5069875597152735,0.5112363458152542,0.3595247471054107,0.3085,0.25554986603840446,0.25759276646049895,0.4087109834774191,0.2475,0.2749570504478692,0.3210193344839026,0.01928767010510502,0.04884947343878477,0.03726922504657547,0.02846334387962901,0.08375232251836173,0.10810750571213432,0.0884304120685739,0.08330889895619942,0.22983871952396565,0.02901983954335611,0.04182704834086777,0.07339935086750951,0.16344676733211924,0.06779518407952889,0.08205641847622062,0.10724130203290938
Simulated HBD,0.7984591246871496,0.9395,0.8514251333142171,0.8162934623309466,0.35770035252356436,0.28049999999999997,0.25586717781884627,0.2718638701323911,0.4473430483693642,0.5189999999999999,0.3801630958274028,0.3598795835607341,0.514203605218311,0.20749999999999996,0.2864724537036456,0.3816732309335831,0.03851969421281233,0.03430961063494693,0.03166287776985341,0.03468497089258546,0.17744820930254177,0.04977325635457393,0.0585766505149645,0.08253486281915047,0.16571801723242696,0.029455281304694592,0.03198218095719371,0.05129220468116478,0.18005449360373985,0.08592157225718411,0.10688971864635374,0.1314924053991668
Simulated LBD,0.7769383737791757,0.9285,0.8344674092369907,0.7963627136390412,0.464884455340232,0.42299999999999993,0.408626877004944,0.427356500098054,0.42132777369619473,0.3375,0.2698921787488164,0.2827894287559985,0.4817489497012312,0.2355,0.29615834111322187,0.36924253601513324,0.03886930456045308,0.024479305460527158,0.03059486775373426,0.03492984608697154,0.11750842513084343,0.09259824890269211,0.09131056964883462,0.09995299400674126,0.25233486920657017,0.03196379800354042,0.04164875660396624,0.07395940937080572,0.1673765430274828,0.08393979723580727,0.09939516469050284,0.11924175800898869
Simulated NBD,0.8422142415190639,0.8779999999999999,0.8382567581551058,0.8342817747896316,0.42386112028100753,0.45099999999999996,0.42336538805198487,0.4206068619700819,0.4257425376007061,0.6735,0.4714634327031604,0.4096799332350113,0.5035813460705102,0.20049999999999998,0.27079993992293994,0.36027270050292154,0.0417171883070588,0.0536467582062364,0.04394039037452605,0.0411628410311783,0.06548596634862539,0.07574421242707104,0.06518894566603121,0.06370436375794139,0.13255625928967413,0.03255075386799117,0.029596448258639267,0.04344109178167369,0.18635496583590458,0.07447679747599284,0.0916591658860482,0.11569648981034919
